subgoal 63: tempo: 600.3890855000063, nodi: 37396, explored_paths: 2196, cost: 0
relaxed 63: tempo: 72.26257759999135, nodi: 8861, explored_paths: 518, cost: 7
manhattan 64: tempo: 0.40062030000262894, nodi: 591, explored_paths: 29, cost: 8
subgoal 64: tempo: 600.1162499000202, nodi: 29071, explored_paths: 1646, cost: 0
relaxed 64: tempo: 21.906179899990093, nodi: 4771, explored_paths: 232, cost: 7
manhattan 65: tempo: 0.05427240001154132, nodi: 201, explored_paths: 11, cost: 7
subgoal 65: tempo: 45.904793199995765, nodi: 7856, explored_paths: 446, cost: 18
relaxed 65: tempo: 2.3660297000024, nodi: 1496, explored_paths: 87, cost: 7
manhattan 66: tempo: 35.257185700000264, nodi: 6056, explored_paths: 312, cost: 8
subgoal 66: tempo: 90.64599200000521, nodi: 9751, explored_paths: 546, cost: 13
relaxed 66: tempo: 600.1638660999888, nodi: 30546, explored_paths: 1823, cost: 0
manhattan 67: tempo: 0.8325524999818299, nodi: 861, explored_paths: 43, cost: 10
subgoal 67: tempo: 1.2472810000181198, nodi: 1091, explored_paths: 65, cost: 11
relaxed 67: tempo: 8.876443899993319, nodi: 2761, explored_paths: 149, cost: 8
manhattan 68: tempo: 3.967916499997955, nodi: 1871, explored_paths: 95, cost: 11
subgoal 68: tempo: 263.7216883000219, nodi: 18091, explored_paths: 1069, cost: 17
relaxed 68: tempo: 29.458765300019877, nodi: 5131, explored_paths: 286, cost: 6
manhattan 69: tempo: 8.120341000001645, nodi: 3081, explored_paths: 173, cost: 10
subgoal 69: tempo: 24.227467500022613, nodi: 5051, explored_paths: 259, cost: 11
relaxed 69: tempo: 105.84148879998247, nodi: 11631, explored_paths: 621, cost: 9
manhattan 70: tempo: 0.33169140000245534, nodi: 521, explored_paths: 29, cost: 9
subgoal 70: tempo: 1.1967589000123553, nodi: 1016, explored_paths: 46, cost: 14
relaxed 70: tempo: 21.754985000006855, nodi: 4036, explored_paths: 179, cost: 8
manhattan 71: tempo: 0.4443166999844834, nodi: 611, explored_paths: 27, cost: 10
subgoal 71: tempo: 31.90015199998743, nodi: 5501, explored_paths: 282, cost: 10
relaxed 71: tempo: 1.7968105000036303, nodi: 1196, explored_paths: 52, cost: 7
manhattan 72: tempo: 0.2358978999836836, nodi: 436, explored_paths: 22, cost: 5
subgoal 72: tempo: 0.1989039999898523, nodi: 411, explored_paths: 18, cost: 7
relaxed 72: tempo: 2.4845610999909695, nodi: 1576, explored_paths: 79, cost: 5
manhattan 73: tempo: 0.23672330001136288, nodi: 436, explored_paths: 20, cost: 6
subgoal 73: tempo: 1.5821982999914326, nodi: 1161, explored_paths: 56, cost: 8
relaxed 73: tempo: 3.270777800003998, nodi: 1671, explored_paths: 77, cost: 6
manhattan 74: tempo: 0.5191784000198822, nodi: 721, explored_paths: 43, cost: 8
subgoal 74: tempo: 0.8445032000017818, nodi: 866, explored_paths: 41, cost: 13
