152: tempo: 0.0003032684326171875, nodi: 7, explored_paths: 1, cost: 1
153: tempo: 0.0006797313690185547, nodi: 11, explored_paths: 2, cost: 2
154: tempo: 0.0003867149353027344, nodi: 11, explored_paths: 2, cost: 2
155: tempo: 0.0029685497283935547, nodi: 49, explored_paths: 13, cost: 5
156: tempo: 0.0016584396362304688, nodi: 43, explored_paths: 11, cost: 5
157: tempo: 0.0003559589385986328, nodi: 11, explored_paths: 2, cost: 2
158: tempo: 0.0008327960968017578, nodi: 23, explored_paths: 5, cost: 3
159: tempo: 0.0036835670471191406, nodi: 71, explored_paths: 18, cost: 6
160: tempo: 0.0005269050598144531, nodi: 11, explored_paths: 2, cost: 2
161: tempo: 0.006353616714477539, nodi: 77, explored_paths: 17, cost: 5
162: tempo: 0.0027327537536621094, nodi: 49, explored_paths: 12, cost: 5
163: tempo: 0.0008795261383056641, nodi: 23, explored_paths: 5, cost: 4
164: tempo: 0.0016934871673583984, nodi: 37, explored_paths: 9, cost: 5
165: tempo: 0.0010209083557128906, nodi: 27, explored_paths: 6, cost: 4
166: tempo: 0.000675201416015625, nodi: 19, explored_paths: 4, cost: 3
167: tempo: 0.0020139217376708984, nodi: 51, explored_paths: 13, cost: 4
168: tempo: 0.0007634162902832031, nodi: 19, explored_paths: 4, cost: 3
169: tempo: 0.0010497570037841797, nodi: 27, explored_paths: 6, cost: 4
170: tempo: 0.007427692413330078, nodi: 81, explored_paths: 18, cost: 6
171: tempo: 0.0019876956939697266, nodi: 51, explored_paths: 13, cost: 5
172: tempo: 0.0021963119506835938, nodi: 51, explored_paths: 13, cost: 4
173: tempo: 0.0007791519165039062, nodi: 19, explored_paths: 4, cost: 4
174: tempo: 0.0008988380432128906, nodi: 23, explored_paths: 5, cost: 4
175: tempo: 0.0007913112640380859, nodi: 23, explored_paths: 5, cost: 3
176: tempo: 0.0016856193542480469, nodi: 39, explored_paths: 9, cost: 5
177: tempo: 0.0003457069396972656, nodi: 9, explored_paths: 2, cost: 2
178: tempo: 0.0001418590545654297, nodi: 5, explored_paths: 1, cost: 1
179: tempo: 0.0028998851776123047, nodi: 47, explored_paths: 11, cost: 5
180: tempo: 0.003381967544555664, nodi: 61, explored_paths: 15, cost: 5
181: tempo: 0.0010237693786621094, nodi: 23, explored_paths: 5, cost: 4
182: tempo: 0.0015723705291748047, nodi: 35, explored_paths: 8, cost: 5
183: tempo: 0.0007359981536865234, nodi: 19, explored_paths: 4, cost: 2
184: tempo: 0.00024271011352539062, nodi: 9, explored_paths: 2, cost: 2
185: tempo: 0.00016808509826660156, nodi: 7, explored_paths: 1, cost: 1
186: tempo: 0.0008339881896972656, nodi: 23, explored_paths: 5, cost: 3
187: tempo: 2.2411346435546875e-05, nodi: 1, explored_paths: 0, cost: 0
188: tempo: 0.0006437301635742188, nodi: 21, explored_paths: 5, cost: 3
189: tempo: 0.003184795379638672, nodi: 69, explored_paths: 18, cost: 6
190: tempo: 0.0030808448791503906, nodi: 49, explored_paths: 13, cost: 4
191: tempo: 0.0029366016387939453, nodi: 55, explored_paths: 14, cost: 3
192: tempo: 0.0022962093353271484, nodi: 57, explored_paths: 15, cost: 5
193: tempo: 0.0018024444580078125, nodi: 39, explored_paths: 9, cost: 5
194: tempo: 0.003928184509277344, nodi: 71, explored_paths: 18, cost: 6
195: tempo: 0.004660129547119141, nodi: 71, explored_paths: 18, cost: 7
196: tempo: 0.0026009082794189453, nodi: 49, explored_paths: 12, cost: 5
197: tempo: 0.00012254714965820312, nodi: 5, explored_paths: 1, cost: 1
198: tempo: 0.0021283626556396484, nodi: 49, explored_paths: 12, cost: 4
199: tempo: 0.0004508495330810547, nodi: 17, explored_paths: 4, cost: 4
